Neighborhood,Bernie Sanders,Hillary Clinton
Battery Park City-Lower Manhattan,1945,3419
SoHo-TriBeCa-Civic Center-Little Italy,2411,4531
Chinatown,2012,2857
Lower East Side,5093,7385
East Village,4113,4271
park-cemetery-etc-Manhattan,588,1000
West Village,5244,10334
Hudson Yards-Chelsea-Flatiron-Union Square,4852,10155
Clinton,2854,5861
Midtown-Midtown South,1147,2538
Lincoln Square,3375,10021
Upper West Side,10586,25181
Yorkville,4306,10136
Upper East Side-Carnegie Hill,2150,8191
East Harlem South,3178,5691
East Harlem North,3285,5694
Central Harlem South,3506,5460
Central Harlem North-Polo Grounds,5362,9135
Morningside Heights,4397,6775
Hamilton Heights,3442,5049
Manhattanville,1387,2211
Washington Heights North,4733,7662
Washington Heights South,4504,7848
Marble Hill-Inwood,2972,4876
Murray Hill-Kips Bay,1973,4346
Turtle Bay-East Midtown,1875,5483
Lenox Hill-Roosevelt Island,3416,8438
Stuyvesant Town-Cooper Village,1902,2936
Gramercy,1586,3322
Highbridge,1095,2919
West Concourse,1132,2786
Mount Hope,1165,3400
University Heights-Morris Heights,1392,4005
park-cemetery-etc-Bronx,728,1329
East Concourse-Concourse Village,1914,5210
Belmont,593,1195
East Tremont,1050,2752
Claremont-Bathgate,899,2359
Bedford Park-Fordham North,1333,2701
Van Cortlandt Village,2270,4153
Bronxdale,850,1865
Kingsbridge Heights,1055,2462
Crotona Park East,585,1631
Morrisania-Melrose,1162,2629
Longwood,828,1865
Melrose South-Mott Haven North,1348,3284
Pelham Parkway,1179,1618
Van Nest-Morris Park-Westchester Square,780,1008
Allerton-Pelham Gardens,1025,2199
Williamsbridge-Olinville,1716,5693
Norwood,1277,2287
Spuyten Duyvil-Kingsbridge,2089,3454
Woodlawn-Wakefield,1282,3520
North Riverdale-Fieldston-Riverdale,1760,3226
Schuylerville-Throgs Neck-Edgewater Park,1702,2097
Westchester-Unionport,753,1451
Pelham Bay-Country Club-City Island,1066,1208
Eastchester-Edenwald-Baychester,962,3203
Co-op City,2542,7706
Mott Haven-Port Morris,1877,4013
Hunts Point,743,1973
Soundview-Castle Hill-Clason Point-Harding Park,2217,5573
Soundview-Bruckner,891,2139
Rikers Island,0,0
West Farms-Bronx River,869,2141
Fordham South,659,1702
Parkchester,1401,2963
Midwood,1595,2027
Madison,993,1212
Flatlands,2936,6925
Georgetown-Marine Park-Bergen Beach-Mill Basin,1611,1792
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2175,2408
East Flatbush-Farragut,1806,6008
Rugby-Remsen Village,1565,6027
park-cemetery-etc-Brooklyn,589,829
Windsor Terrace,2489,2688
Flatbush,6108,8932
Erasmus,1033,2529
Kensington-Ocean Parkway,2144,2013
Prospect Lefferts Gardens-Wingate,3769,7350
Crown Heights North,7391,11003
Crown Heights South,2136,3783
Borough Park,1556,2443
Park Slope-Gowanus,8209,11094
Ocean Parkway South,469,658
Homecrest,826,1021
Bensonhurst East,1325,1197
Gravesend,869,987
Brighton Beach,691,620
Seagate-Coney Island,902,1619
West Brighton,633,755
Bay Ridge,4213,3642
Dyker Heights,1201,953
Bath Beach,645,576
Bensonhurst West,1917,1693
Sunset Park East,1581,1675
Bedford,4471,4828
North Side-South Side,4189,4203
