Neighborhood,Hillary Clinton / Tim Kaine (Democratic),Donald J. Trump / Michael R. Pence (Republican),Jill Stein / Ajamu Baraka (Green),Gary Johnson / Bill Weld (Independence)
Battery Park City-Lower Manhattan,13741,2678,184,479
SoHo-TriBeCa-Civic Center-Little Italy,15170,1699,224,329
Chinatown,10068,1679,188,140
Lower East Side,22810,2707,459,228
East Village,15782,1401,479,285
park-cemetery-etc-Manhattan,3359,198,44,22
West Village,28687,2338,467,524
Hudson Yards-Chelsea-Flatiron-Union Square,30570,3006,500,529
Clinton,17681,2098,300,285
Midtown-Midtown South,9383,1933,123,220
Lincoln Square,25816,3682,297,503
Upper West Side,61276,5090,911,941
Yorkville,30111,5516,394,780
Upper East Side-Carnegie Hill,23076,5133,185,741
East Harlem South,19172,1354,275,194
East Harlem North,19374,873,311,126
Central Harlem South,18101,549,356,116
Central Harlem North-Polo Grounds,29441,732,474,152
Morningside Heights,18749,962,445,199
Hamilton Heights,17108,625,328,129
Manhattanville,7733,324,144,62
Washington Heights North,23055,2265,490,217
Washington Heights South,25281,1561,457,193
Marble Hill-Inwood,15343,1073,297,113
Murray Hill-Kips Bay,15052,2557,195,394
Turtle Bay-East Midtown,17051,4281,199,444
Lenox Hill-Roosevelt Island,27127,5870,393,635
Stuyvesant Town-Cooper Village,8589,1567,195,195
Gramercy,10307,1179,127,233
Highbridge,10103,430,69,37
West Concourse,9371,468,79,30
Mount Hope,11749,565,109,59
University Heights-Morris Heights,13437,614,103,50
park-cemetery-etc-Bronx,4972,737,83,50
East Concourse-Concourse Village,15876,700,168,70
Belmont,4583,381,68,35
East Tremont,9757,432,112,38
Claremont-Bathgate,8780,305,75,27
Bedford Park-Fordham North,10372,791,131,59
Van Cortlandt Village,13801,1373,219,110
Bronxdale,6583,831,90,37
Kingsbridge Heights,8002,461,109,64
Crotona Park East,5812,324,61,16
Morrisania-Melrose,9889,444,99,40
Longwood,6481,356,63,22
Melrose South-Mott Haven North,10924,576,107,53
Pelham Parkway,6314,1935,161,101
Van Nest-Morris Park-Westchester Square,4666,1407,61,65
Allerton-Pelham Gardens,7539,1732,115,70
Williamsbridge-Olinville,17927,638,133,53
Norwood,9156,834,173,54
Spuyten Duyvil-Kingsbridge,9928,1966,209,142
Woodlawn-Wakefield,11149,1501,126,90
North Riverdale-Fieldston-Riverdale,8646,2388,209,153
Schuylerville-Throgs Neck-Edgewater Park,9050,5446,168,148
Westchester-Unionport,6149,686,76,39
Pelham Bay-Country Club-City Island,4869,3792,137,110
Eastchester-Edenwald-Baychester,9563,322,78,33
Co-op City,18835,1177,210,114
Mott Haven-Port Morris,13866,696,158,68
Hunts Point,6316,357,62,33
Soundview-Castle Hill-Clason Point-Harding Park,17660,1025,159,105
Soundview-Bruckner,8126,537,92,46
Rikers Island,0,0,0,0
West Farms-Bronx River,7558,532,72,23
Fordham South,5696,307,69,20
Parkchester,10141,731,128,48
Midwood,5416,9281,156,203
Madison,4109,5528,105,129
Flatlands,21477,2813,262,131
Georgetown-Marine Park-Bergen Beach-Mill Basin,6206,7825,120,176
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,9190,9734,228,261
East Flatbush-Farragut,16751,412,154,52
Rugby-Remsen Village,17585,392,134,35
park-cemetery-etc-Brooklyn,3376,1262,62,48
Windsor Terrace,8482,1258,230,106
Flatbush,30901,3043,597,205
Erasmus,8490,257,104,34
Kensington-Ocean Parkway,8281,2529,214,111
Prospect Lefferts Gardens-Wingate,23399,890,420,114
Crown Heights North,38068,1344,736,191
Crown Heights South,11816,2035,197,108
Borough Park,4881,12810,124,305
Park Slope-Gowanus,32661,1766,622,373
Ocean Parkway South,1397,3808,38,81
Homecrest,3226,6828,95,134
Bensonhurst East,6480,5506,177,160
Gravesend,4165,3277,97,74
Brighton Beach,3205,4941,81,100
Seagate-Coney Island,6171,2002,91,58
West Brighton,1829,4355,64,46
Bay Ridge,16904,9969,574,520
Dyker Heights,5267,5386,159,177
Bath Beach,3271,3110,68,114
Bensonhurst West,9425,7768,249,238
Sunset Park East,7795,2207,192,119
Bedford,19729,966,433,125
North Side-South Side,18438,1398,356,236
Greenpoint,11638,1862,371,160
Williamsburg,2030,1362,41,34
Fort Greene,12211,370,240,115
East Williamsburg,12728,1220,288,118
Clinton Hill,14635,336,346,80
Carroll Gardens-Columbia Street-Red Hook,15672,1205,252,156
Sunset Park West,11083,1554,288,135
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,18360,827,290,248
Brooklyn Heights-Cobble Hill,10589,770,184,196
Prospect Heights,10612,240,205,79
Bushwick South,20828,1006,517,143
Bushwick North,13750,791,367,105
East New York,28152,895,218,97
Cypress Hills-City Line,10045,782,134,68
Stuyvesant Heights,22684,445,471,114
Ocean Hill,9228,228,110,45
East New York (Pennsylvania Ave),8815,186,58,30
Brownsville,17294,396,140,54
Canarsie,27550,1212,239,102
Starrett City,4258,657,34,21
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4226,6547,135,200
park-cemetery-etc-Queens,6602,3224,143,143
Hammels-Arverne-Edgemere,9048,1393,130,80
Far Rockaway-Bayswater,10286,3191,108,117
Woodhaven,12142,2954,234,147
Lindenwood-Howard Beach,3983,6014,91,111
Ozone Park,4461,1773,82,51
