Neighborhood,Donald J. Trump,John R. Kasich,Ben Carson,Ted Cruz
Battery Park City-Lower Manhattan,516,539,12,160
SoHo-TriBeCa-Civic Center-Little Italy,257,407,7,104
Chinatown,225,97,10,59
Lower East Side,265,132,9,99
East Village,230,235,7,59
park-cemetery-etc-Manhattan,28,6,0,11
West Village,403,630,6,137
Hudson Yards-Chelsea-Flatiron-Union Square,450,588,16,141
Clinton,311,270,6,101
Midtown-Midtown South,326,314,6,91
Lincoln Square,755,860,11,219
Upper West Side,851,1219,20,405
Yorkville,1109,1218,16,363
Upper East Side-Carnegie Hill,1109,1689,13,297
East Harlem South,193,173,7,66
East Harlem North,86,50,8,47
Central Harlem South,79,92,9,31
Central Harlem North-Polo Grounds,91,73,16,29
Morningside Heights,126,184,9,61
Hamilton Heights,57,51,6,31
Manhattanville,24,18,3,7
Washington Heights North,221,143,3,148
Washington Heights South,142,78,9,63
Marble Hill-Inwood,104,46,1,35
Murray Hill-Kips Bay,477,475,10,131
Turtle Bay-East Midtown,1001,854,11,221
Lenox Hill-Roosevelt Island,1220,1193,7,310
Stuyvesant Town-Cooper Village,318,288,10,96
Gramercy,222,259,6,64
Highbridge,26,7,2,10
West Concourse,39,7,2,6
Mount Hope,58,5,6,12
University Heights-Morris Heights,47,13,6,27
park-cemetery-etc-Bronx,100,23,1,23
East Concourse-Concourse Village,45,14,5,17
Belmont,47,7,3,14
East Tremont,17,7,2,5
Claremont-Bathgate,15,5,0,8
Bedford Park-Fordham North,86,23,1,27
Van Cortlandt Village,142,29,7,47
Bronxdale,108,12,3,14
Kingsbridge Heights,42,8,0,30
Crotona Park East,18,3,3,15
Morrisania-Melrose,20,8,4,12
Longwood,19,3,1,9
Melrose South-Mott Haven North,34,10,2,18
Pelham Parkway,329,58,5,53
Van Nest-Morris Park-Westchester Square,268,45,1,40
Allerton-Pelham Gardens,246,47,3,46
Williamsbridge-Olinville,54,23,7,26
Norwood,76,25,1,27
Spuyten Duyvil-Kingsbridge,270,134,5,112
Woodlawn-Wakefield,204,66,4,53
North Riverdale-Fieldston-Riverdale,316,156,8,124
Schuylerville-Throgs Neck-Edgewater Park,856,124,10,104
Westchester-Unionport,65,15,3,25
Pelham Bay-Country Club-City Island,697,144,5,74
Eastchester-Edenwald-Baychester,30,10,1,13
Co-op City,126,42,6,42
Mott Haven-Port Morris,48,9,6,24
Hunts Point,24,2,2,14
Soundview-Castle Hill-Clason Point-Harding Park,108,27,4,38
Soundview-Bruckner,37,11,1,18
Rikers Island,0,0,0,0
West Farms-Bronx River,40,9,3,14
Fordham South,27,2,1,6
Parkchester,46,15,3,17
Midwood,570,121,9,461
Madison,543,84,5,141
Flatlands,262,69,10,117
Georgetown-Marine Park-Bergen Beach-Mill Basin,1201,192,9,177
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1359,165,2,208
East Flatbush-Farragut,35,11,0,11
Rugby-Remsen Village,27,13,1,17
park-cemetery-etc-Brooklyn,190,46,3,33
Windsor Terrace,205,120,8,53
Flatbush,258,95,8,142
Erasmus,25,8,1,7
Kensington-Ocean Parkway,216,68,4,170
Prospect Lefferts Gardens-Wingate,63,43,4,41
Crown Heights North,83,54,4,74
Crown Heights South,94,26,4,104
Borough Park,647,97,5,948
Park Slope-Gowanus,268,313,15,84
Ocean Parkway South,210,46,1,169
Homecrest,641,81,5,134
Bensonhurst East,685,89,11,109
Gravesend,445,46,1,53
